title,genres,averageRating,numVotes,releaseYear
Pad Man,"Comedy, Drama","7,9",30558,2018
Le cercle rouge,"Crime, Drama, Thriller","7,9",30272,1970
Elevator to the Gallows,"Crime, Drama, Thriller","7,9",30215,1958
Mildred Pierce,"Crime, Drama, Film-Noir","7,9",30109,1945
Sullivan's Travels,"Adventure, Comedy, Drama","7,9",29765,1941
Beauty and the Beast,"Drama, Fantasy, Romance","7,9",29048,1946
Arjun Reddy,"Drama, Romance","7,9",28793,2017
The Way He Looks,"Drama, Romance","7,9",28683,2014
Through a Glass Darkly,Drama,"7,9",28443,1961
My Man Godfrey,"Comedy, Drama, Romance","7,9",27549,1936
The Thin Blue Line,"Crime, Documentary","7,9",26985,1988
Evangelion: 2.0 You Can (Not) Advance,"Action, Animation, Drama","7,9",26845,2009
La Notte,Drama,"7,9",25350,1961
Tampopo,Comedy,"7,9",24579,1985
Ugly,"Crime, Drama, Mystery","7,9",24360,2013
Kes,"Drama, Family","7,9",24341,1969
I Am Not Your Negro,"Documentary, History","7,9",24164,2016
Angels with Dirty Faces,"Crime, Drama, Film-Noir","7,9",24082,1938
Onibaba,"Drama, Horror, Thriller","7,9",23945,1964
Maidaan,"Biography, Drama, History","7,9",22733,2024
The Big Country,"Drama, Romance, Western","7,9",22718,1958
The Stoning of Soraya M.,Drama,"7,9",22500,2008
Kwaidan,"Drama, Fantasy, Horror","7,9",21433,1964
Don't Look Now... We're Being Shot At!,"Adventure, Comedy, War","7,9",21315,1966
Flee,"Animation, Biography, Documentary","7,9",20531,2021
When We Were Kings,"Documentary, Sport","7,9",19884,1996
Still Walking,Drama,"7,9",19817,2008
A Night to Remember,"Drama, History","7,9",18421,1958
Border,"Action, Drama, History","7,9",18416,1997
BTS Permission to Dance on Stage - Seoul: Live Viewing,"Documentary, Music","7,9",17561,2022
Anvil: The Story of Anvil,"Biography, Documentary, Drama","7,9",17124,2008
Trouble in Paradise,"Comedy, Crime, Romance","7,9",16865,1932
Thiruchitrambalam,"Comedy, Drama, Musical","7,9",16831,2022
On Board,"Crime, Drama","7,9",16808,1998
Leila's Brothers,Drama,"7,9",16752,2022
Company,"Action, Crime, Drama","7,9",16741,2002
The Roaring Twenties,"Crime, Drama, Thriller","7,9",16612,1939
The Class,Drama,"7,9",16248,2007
The Alpinist,"Biography, Documentary","7,9",15884,2021
Mishima: A Life in Four Chapters,"Biography, Drama","7,9",15408,1985
Eternity and a Day,Drama,"7,9",15326,1998
The Greatest Night in Pop,"Documentary, Music","7,9",15128,2024
Divorce Italian Style,"Comedy, Drama, Romance","7,9",15035,1961
Yol,Drama,"7,9",15009,1982
Earth,Documentary,"7,9",14842,2007
Marley,"Biography, Documentary, Music","7,9",14775,2012
Ivy,"Drama, Fantasy, Thriller","7,9",14114,2015
The Testament of Dr. Mabuse,"Crime, Mystery, Thriller","7,9",14107,1933
The Little Foxes,"Drama, Romance","7,9",13668,1941
The Other Me,"Crime, Drama, Mystery","7,9",13452,2016
