Pelicula,Año de estreno,Ganancia
The Lady in the Van,2015,130075884.25
Vantage Point,2008,72487.3599999994
As Above So Below,2014,-2706334.512000001
The Birds,1963,25499369.12
Deep Blue Sea,1999,4076061.1339999996
Victor Frankenstein,2015,3988970.719999999
Don't Be Afraid of the Dark,2010,115739602.05999999
Public Enemies,2009,273198695.6
Tinker Bell and the Great Fairy Rescue,2010,138131080.3
Spartacus,1960,-10902088.098000001
Foxcatcher,2014,57262112.74
All Is Lost,2013,18090904.75
Saw 3D,2010,-23530921.86
Cats & Dogs,2001,2130235.9399999976
War,2007,123086299.51000002
Zack and Miri Make a Porno,2008,23666889.130000003
Addams Family Values,1993,4680166.760000002
The Punisher,2004,85106188.28
Catwoman,2004,24747774.584
Machine Gun Preacher,2011,32822638.52
Brothers of the Wind,2015,32384547.769999996
The Karate Kid,2010,4593359.030000001
The Witches,1990,5246897.520000001
Mike's New Car,2001,2815739.0299999993
Anomalisa,2015,65142436.19
Jack and Jill,2011,-1591256.7000000002
L.A. Confidential,1997,3880543.420000002
Get Smart,2008,-6889818.578000001
A Nightmare on Elm Street 3: Dream Warriors,1987,-6926646.809999999
What's Your Number?,2011,159485688.08999997
Paranormal Activity,2007,74419781.94
Season of the Witch,2011,-25252871.2856
Legally Blonde 2: Red White & Blonde,2003,53954537.798
The Santa Clause 2,2002,5183178.919
Penelope,2006,31238013.630000003
My Week with Marilyn,2011,5387689.1
The Watch,2012,-2398228.84
The Spectacular Now,2013,10846473.683
Trading Places,1983,-14677955.849100001
Trance,2013,4033576.4499999993
Miami Vice,2006,-33976921.16
Insomnia,2002,43569093.28
We Bought a Zoo,2011,-2644370.97628
Serenity,2005,-7947159.980911
John Tucker Must Die,2006,48802.910000003874
10 Years,2011,-20333498.386
Tristan & Isolde,2006,226926476.45999998
Evan Almighty,2007,-9484183.841000002
Scream 2,1997,51500754.44
Matilda,1996,-7876175.891000001
DragonHeart,1996,17408958.587
Saw II,2005,-18201161.059
From Paris with Love,2010,-23394844.142576
The Darkest Hour,2011,-21607888.134999998
The Ghost Writer,2010,276542323.7
Dawn of the Dead,2004,7423176.93
The Master,2012,51481834.4
WarGames,1983,5293186.24
Brazil,1985,54644451.480000004
Boiler Room,2000,-21477340.506
Jennifer's Body,2009,13063757.912
Just Like Heaven,2005,46042485.62
The Five-Year Engagement,2012,7653447.692
Oz: The Great and Powerful,2013,76157893.846
Turbo,2013,22400597.94
Liar Liar,1997,20287882.675
Mean Streets,1973,1838277.7733
All About Steve,2009,-19857933.54
Alvin and the Chipmunks: The Squeakquel,2009,-3566650.2550000004
South Park: Bigger Longer & Uncut,1999,-6177820.130000001
Barbie as The Princess & the Pauper,2004,1934055.514
Bride Wars,2009,588465307.8000001
The Reader,2008,-180818.24293
Basic Instinct,1992,-3229804.6100000013
Next,2007,322087.20463
Pawn Sacrifice,2015,6727622.719999999
Spy Game,2001,-9331987.628980001
Swordfish,2001,6333455.330000002
Tinker Tailor Soldier Spy,2011,-9811324.69
Cinderella Man,2005,-3735502.2474539997
The Waterboy,1998,-1239887.563
Payback,1999,-6546479.671980999
Saw IV,2007,-5747329.028999999
Hoodwinked!,2005,-8391923.7166
Contagion,2011,-7018436.114000002
Hide and Seek,2005,1526149.9640000006
Dragons: Gift of the Night Fury,2011,-9385637.318000002
Momentum,2015,-48054054.989999995
Secret Window,2004,-2565629.0420000004
Secretary,2002,-3836323.3359999997
The Big Year,2011,51131004.42
Teenage Mutant Ninja Turtles III,1993,-22001661.459
That's My Boy,2012,100.15556871
Joseph: King of Dreams,2000,-3416516.1212999998
Arthur 3: la guerre des deux mondes,2010,-8748494.3899
Duplex,2003,9528166.175999999
Maya the Bee Movie,2014,-4617947.690300001
Savages,2012,-7179375.82
21 Grams,2003,82492499.57
Lady and the Tramp II: Scamp's Adventure,2001,0.9360333530000009
Road Trip,2000,-549138.0069
Before Sunset,2004,1554770.12
Salting the Battlefield,2014,-13104466.939999998
The Ninth Gate,1999,35690500.57
The Last Days on Mars,2013,1234247693.1
Laggies,2014,59264043.21000001
Basic Instinct 2,2006,789276709.7
The Guest,2014,309016623.36
Thelma & Louise,1991,862900626.7
Flash Gordon,1980,139206809.6
Hitman,2007,728457252.5
Frida,2002,259441780.20000002
Cyborg,1989,175454537.19
Legend of the Guardians: The Owls of Ga'Hoole,2010,510217688.0
The Color of Money,1986,336193526.5
